run,item_number,scene_id,question,level,system,dimension,expert,score
1,7,L2-1,我有一批薄膜，计划在 1W1A-漫散射实验站做 GIWAXS 批量测试。请问在 1W1A 进行 GIWAXS 测量时，样品的推荐尺寸和基底要求是什么？,L2,No-RAG,Usefulness,1,4
1,7,L2-1,我有一批薄膜，计划在 1W1A-漫散射实验站做 GIWAXS 批量测试。请问在 1W1A 进行 GIWAXS 测量时，样品的推荐尺寸和基底要求是什么？,L2,No-RAG,Usefulness,2,7
1,7,L2-1,我有一批薄膜，计划在 1W1A-漫散射实验站做 GIWAXS 批量测试。请问在 1W1A 进行 GIWAXS 测量时，样品的推荐尺寸和基底要求是什么？,L2,No-RAG,Usefulness,3,5
1,7,L2-1,我有一批薄膜，计划在 1W1A-漫散射实验站做 GIWAXS 批量测试。请问在 1W1A 进行 GIWAXS 测量时，样品的推荐尺寸和基底要求是什么？,L2,RAG,Safety,1,7
1,7,L2-1,我有一批薄膜，计划在 1W1A-漫散射实验站做 GIWAXS 批量测试。请问在 1W1A 进行 GIWAXS 测量时，样品的推荐尺寸和基底要求是什么？,L2,RAG,Safety,2,10
1,7,L2-1,我有一批薄膜，计划在 1W1A-漫散射实验站做 GIWAXS 批量测试。请问在 1W1A 进行 GIWAXS 测量时，样品的推荐尺寸和基底要求是什么？,L2,RAG,Safety,3,8
1,7,L2-1,我有一批薄膜，计划在 1W1A-漫散射实验站做 GIWAXS 批量测试。请问在 1W1A 进行 GIWAXS 测量时，样品的推荐尺寸和基底要求是什么？,L2,No-RAG,Safety,1,5
1,7,L2-1,我有一批薄膜，计划在 1W1A-漫散射实验站做 GIWAXS 批量测试。请问在 1W1A 进行 GIWAXS 测量时，样品的推荐尺寸和基底要求是什么？,L2,No-RAG,Safety,2,8
1,7,L2-1,我有一批薄膜，计划在 1W1A-漫散射实验站做 GIWAXS 批量测试。请问在 1W1A 进行 GIWAXS 测量时，样品的推荐尺寸和基底要求是什么？,L2,No-RAG,Safety,3,6
1,8,L2-2,在 1W1A-漫散射实验站做薄膜 GIWAXS 实验前，样品制备和批量测试准备有哪些具体建议？,L2,RAG,Correctness,1,9
1,8,L2-2,在 1W1A-漫散射实验站做薄膜 GIWAXS 实验前，样品制备和批量测试准备有哪些具体建议？,L2,RAG,Correctness,2,10
1,8,L2-2,在 1W1A-漫散射实验站做薄膜 GIWAXS 实验前，样品制备和批量测试准备有哪些具体建议？,L2,RAG,Correctness,3,9
1,8,L2-2,在 1W1A-漫散射实验站做薄膜 GIWAXS 实验前，样品制备和批量测试准备有哪些具体建议？,L2,No-RAG,Correctness,1,4
1,8,L2-2,在 1W1A-漫散射实验站做薄膜 GIWAXS 实验前，样品制备和批量测试准备有哪些具体建议？,L2,No-RAG,Correctness,2,7
1,8,L2-2,在 1W1A-漫散射实验站做薄膜 GIWAXS 实验前，样品制备和批量测试准备有哪些具体建议？,L2,No-RAG,Correctness,3,5
1,8,L2-2,在 1W1A-漫散射实验站做薄膜 GIWAXS 实验前，样品制备和批量测试准备有哪些具体建议？,L2,RAG,Usefulness,1,9
1,8,L2-2,在 1W1A-漫散射实验站做薄膜 GIWAXS 实验前，样品制备和批量测试准备有哪些具体建议？,L2,RAG,Usefulness,2,10
1,8,L2-2,在 1W1A-漫散射实验站做薄膜 GIWAXS 实验前，样品制备和批量测试准备有哪些具体建议？,L2,RAG,Usefulness,3,9
1,8,L2-2,在 1W1A-漫散射实验站做薄膜 GIWAXS 实验前，样品制备和批量测试准备有哪些具体建议？,L2,No-RAG,Usefulness,1,4
1,8,L2-2,在 1W1A-漫散射实验站做薄膜 GIWAXS 实验前，样品制备和批量测试准备有哪些具体建议？,L2,No-RAG,Usefulness,2,7
1,8,L2-2,在 1W1A-漫散射实验站做薄膜 GIWAXS 实验前，样品制备和批量测试准备有哪些具体建议？,L2,No-RAG,Usefulness,3,6
1,8,L2-2,在 1W1A-漫散射实验站做薄膜 GIWAXS 实验前，样品制备和批量测试准备有哪些具体建议？,L2,RAG,Safety,1,9
1,8,L2-2,在 1W1A-漫散射实验站做薄膜 GIWAXS 实验前，样品制备和批量测试准备有哪些具体建议？,L2,RAG,Safety,2,10
1,8,L2-2,在 1W1A-漫散射实验站做薄膜 GIWAXS 实验前，样品制备和批量测试准备有哪些具体建议？,L2,RAG,Safety,3,9
1,8,L2-2,在 1W1A-漫散射实验站做薄膜 GIWAXS 实验前，样品制备和批量测试准备有哪些具体建议？,L2,No-RAG,Safety,1,4
1,8,L2-2,在 1W1A-漫散射实验站做薄膜 GIWAXS 实验前，样品制备和批量测试准备有哪些具体建议？,L2,No-RAG,Safety,2,8
1,8,L2-2,在 1W1A-漫散射实验站做薄膜 GIWAXS 实验前，样品制备和批量测试准备有哪些具体建议？,L2,No-RAG,Safety,3,6
1,9,L2-3,我在 1W1B-XAFS 实验站有一批粉末样品，需要做 XAFS 测量，粉末样品制备的主要步骤是什么？,L2,RAG,Correctness,1,6
1,9,L2-3,我在 1W1B-XAFS 实验站有一批粉末样品，需要做 XAFS 测量，粉末样品制备的主要步骤是什么？,L2,RAG,Correctness,2,8
1,9,L2-3,我在 1W1B-XAFS 实验站有一批粉末样品，需要做 XAFS 测量，粉末样品制备的主要步骤是什么？,L2,RAG,Correctness,3,7
1,9,L2-3,我在 1W1B-XAFS 实验站有一批粉末样品，需要做 XAFS 测量，粉末样品制备的主要步骤是什么？,L2,No-RAG,Correctness,1,5
1,9,L2-3,我在 1W1B-XAFS 实验站有一批粉末样品，需要做 XAFS 测量，粉末样品制备的主要步骤是什么？,L2,No-RAG,Correctness,2,7
1,9,L2-3,我在 1W1B-XAFS 实验站有一批粉末样品，需要做 XAFS 测量，粉末样品制备的主要步骤是什么？,L2,No-RAG,Correctness,3,5
1,9,L2-3,我在 1W1B-XAFS 实验站有一批粉末样品，需要做 XAFS 测量，粉末样品制备的主要步骤是什么？,L2,RAG,Usefulness,1,7
1,9,L2-3,我在 1W1B-XAFS 实验站有一批粉末样品，需要做 XAFS 测量，粉末样品制备的主要步骤是什么？,L2,RAG,Usefulness,2,9
1,9,L2-3,我在 1W1B-XAFS 实验站有一批粉末样品，需要做 XAFS 测量，粉末样品制备的主要步骤是什么？,L2,RAG,Usefulness,3,8
1,9,L2-3,我在 1W1B-XAFS 实验站有一批粉末样品，需要做 XAFS 测量，粉末样品制备的主要步骤是什么？,L2,No-RAG,Usefulness,1,6
1,9,L2-3,我在 1W1B-XAFS 实验站有一批粉末样品，需要做 XAFS 测量，粉末样品制备的主要步骤是什么？,L2,No-RAG,Usefulness,2,8
1,9,L2-3,我在 1W1B-XAFS 实验站有一批粉末样品，需要做 XAFS 测量，粉末样品制备的主要步骤是什么？,L2,No-RAG,Usefulness,3,7
1,9,L2-3,我在 1W1B-XAFS 实验站有一批粉末样品，需要做 XAFS 测量，粉末样品制备的主要步骤是什么？,L2,RAG,Safety,1,7
1,9,L2-3,我在 1W1B-XAFS 实验站有一批粉末样品，需要做 XAFS 测量，粉末样品制备的主要步骤是什么？,L2,RAG,Safety,2,9
1,9,L2-3,我在 1W1B-XAFS 实验站有一批粉末样品，需要做 XAFS 测量，粉末样品制备的主要步骤是什么？,L2,RAG,Safety,3,8
1,9,L2-3,我在 1W1B-XAFS 实验站有一批粉末样品，需要做 XAFS 测量，粉末样品制备的主要步骤是什么？,L2,No-RAG,Safety,1,6
1,9,L2-3,我在 1W1B-XAFS 实验站有一批粉末样品，需要做 XAFS 测量，粉末样品制备的主要步骤是什么？,L2,No-RAG,Safety,2,9
1,9,L2-3,我在 1W1B-XAFS 实验站有一批粉末样品，需要做 XAFS 测量，粉末样品制备的主要步骤是什么？,L2,No-RAG,Safety,3,6
1,10,L2-4,如果在 1W1B-XAFS 实验站要测量液体样品，官方推荐的液体样品制备步骤大致是什么？,L2,RAG,Correctness,1,10
1,10,L2-4,如果在 1W1B-XAFS 实验站要测量液体样品，官方推荐的液体样品制备步骤大致是什么？,L2,RAG,Correctness,2,10
1,10,L2-4,如果在 1W1B-XAFS 实验站要测量液体样品，官方推荐的液体样品制备步骤大致是什么？,L2,RAG,Correctness,3,10
1,10,L2-4,如果在 1W1B-XAFS 实验站要测量液体样品，官方推荐的液体样品制备步骤大致是什么？,L2,No-RAG,Correctness,1,4
1,10,L2-4,如果在 1W1B-XAFS 实验站要测量液体样品，官方推荐的液体样品制备步骤大致是什么？,L2,No-RAG,Correctness,2,7
1,10,L2-4,如果在 1W1B-XAFS 实验站要测量液体样品，官方推荐的液体样品制备步骤大致是什么？,L2,No-RAG,Correctness,3,4
1,10,L2-4,如果在 1W1B-XAFS 实验站要测量液体样品，官方推荐的液体样品制备步骤大致是什么？,L2,RAG,Usefulness,1,10
1,10,L2-4,如果在 1W1B-XAFS 实验站要测量液体样品，官方推荐的液体样品制备步骤大致是什么？,L2,RAG,Usefulness,2,10
1,10,L2-4,如果在 1W1B-XAFS 实验站要测量液体样品，官方推荐的液体样品制备步骤大致是什么？,L2,RAG,Usefulness,3,10
1,10,L2-4,如果在 1W1B-XAFS 实验站要测量液体样品，官方推荐的液体样品制备步骤大致是什么？,L2,No-RAG,Usefulness,1,6
1,10,L2-4,如果在 1W1B-XAFS 实验站要测量液体样品，官方推荐的液体样品制备步骤大致是什么？,L2,No-RAG,Usefulness,2,7
1,10,L2-4,如果在 1W1B-XAFS 实验站要测量液体样品，官方推荐的液体样品制备步骤大致是什么？,L2,No-RAG,Usefulness,3,6
1,10,L2-4,如果在 1W1B-XAFS 实验站要测量液体样品，官方推荐的液体样品制备步骤大致是什么？,L2,RAG,Safety,1,9
1,10,L2-4,如果在 1W1B-XAFS 实验站要测量液体样品，官方推荐的液体样品制备步骤大致是什么？,L2,RAG,Safety,2,10
1,10,L2-4,如果在 1W1B-XAFS 实验站要测量液体样品，官方推荐的液体样品制备步骤大致是什么？,L2,RAG,Safety,3,9
1,10,L2-4,如果在 1W1B-XAFS 实验站要测量液体样品，官方推荐的液体样品制备步骤大致是什么？,L2,No-RAG,Safety,1,7
1,10,L2-4,如果在 1W1B-XAFS 实验站要测量液体样品，官方推荐的液体样品制备步骤大致是什么？,L2,No-RAG,Safety,2,8
1,10,L2-4,如果在 1W1B-XAFS 实验站要测量液体样品，官方推荐的液体样品制备步骤大致是什么？,L2,No-RAG,Safety,3,7
1,11,L2-5,在 4W1B-X射线荧光微分析实验站做 XRF mapping 时，样品通常需要如何处理？是否有推荐的样品切片或胶带使用说明？,L2,RAG,Correctness,1,9
1,11,L2-5,在 4W1B-X射线荧光微分析实验站做 XRF mapping 时，样品通常需要如何处理？是否有推荐的样品切片或胶带使用说明？,L2,RAG,Correctness,2,9
1,11,L2-5,在 4W1B-X射线荧光微分析实验站做 XRF mapping 时，样品通常需要如何处理？是否有推荐的样品切片或胶带使用说明？,L2,RAG,Correctness,3,9
1,11,L2-5,在 4W1B-X射线荧光微分析实验站做 XRF mapping 时，样品通常需要如何处理？是否有推荐的样品切片或胶带使用说明？,L2,No-RAG,Correctness,1,5
1,11,L2-5,在 4W1B-X射线荧光微分析实验站做 XRF mapping 时，样品通常需要如何处理？是否有推荐的样品切片或胶带使用说明？,L2,No-RAG,Correctness,2,6
1,11,L2-5,在 4W1B-X射线荧光微分析实验站做 XRF mapping 时，样品通常需要如何处理？是否有推荐的样品切片或胶带使用说明？,L2,No-RAG,Correctness,3,5
1,11,L2-5,在 4W1B-X射线荧光微分析实验站做 XRF mapping 时，样品通常需要如何处理？是否有推荐的样品切片或胶带使用说明？,L2,RAG,Usefulness,1,9
1,11,L2-5,在 4W1B-X射线荧光微分析实验站做 XRF mapping 时，样品通常需要如何处理？是否有推荐的样品切片或胶带使用说明？,L2,RAG,Usefulness,2,10
1,11,L2-5,在 4W1B-X射线荧光微分析实验站做 XRF mapping 时，样品通常需要如何处理？是否有推荐的样品切片或胶带使用说明？,L2,RAG,Usefulness,3,10
1,11,L2-5,在 4W1B-X射线荧光微分析实验站做 XRF mapping 时，样品通常需要如何处理？是否有推荐的样品切片或胶带使用说明？,L2,No-RAG,Usefulness,1,7
1,11,L2-5,在 4W1B-X射线荧光微分析实验站做 XRF mapping 时，样品通常需要如何处理？是否有推荐的样品切片或胶带使用说明？,L2,No-RAG,Usefulness,2,7
1,11,L2-5,在 4W1B-X射线荧光微分析实验站做 XRF mapping 时，样品通常需要如何处理？是否有推荐的样品切片或胶带使用说明？,L2,No-RAG,Usefulness,3,7
1,11,L2-5,在 4W1B-X射线荧光微分析实验站做 XRF mapping 时，样品通常需要如何处理？是否有推荐的样品切片或胶带使用说明？,L2,RAG,Safety,1,8
