scene_id,level,system,dimension,score,n_ratings
L2-3,L2,RAG,Safety,8.222222222222221,9
L2-3,L2,No-RAG,Correctness,5.777777777777778,9
L2-3,L2,No-RAG,Usefulness,6.777777777777778,9
L2-3,L2,No-RAG,Safety,7.0,9
L2-4,L2,RAG,Correctness,10.0,9
L2-4,L2,RAG,Usefulness,9.666666666666666,9
L2-4,L2,RAG,Safety,9.222222222222221,9
L2-4,L2,No-RAG,Correctness,5.0,9
L2-4,L2,No-RAG,Usefulness,6.0,9
L2-4,L2,No-RAG,Safety,6.777777777777778,9
L2-5,L2,RAG,Correctness,9.222222222222221,9
L2-5,L2,RAG,Usefulness,9.666666666666666,9
L2-5,L2,RAG,Safety,8.444444444444445,9
L2-5,L2,No-RAG,Correctness,5.333333333333333,9
L2-5,L2,No-RAG,Usefulness,6.555555555555555,9
L2-5,L2,No-RAG,Safety,6.888888888888889,9
L2-6,L2,RAG,Correctness,7.111111111111111,9
L2-6,L2,RAG,Usefulness,7.444444444444445,9
L2-6,L2,RAG,Safety,7.777777777777778,9
L2-6,L2,No-RAG,Correctness,4.555555555555555,9
L2-6,L2,No-RAG,Usefulness,5.888888888888889,9
L2-6,L2,No-RAG,Safety,7.222222222222222,9
L3-1,L3,RAG,Correctness,9.11111111111111,9
L3-1,L3,RAG,Usefulness,9.11111111111111,9
L3-1,L3,RAG,Safety,7.777777777777778,9
L3-1,L3,No-RAG,Correctness,5.222222222222222,9
L3-1,L3,No-RAG,Usefulness,6.555555555555555,9
L3-1,L3,No-RAG,Safety,7.111111111111111,9
L3-2,L3,RAG,Correctness,9.444444444444445,9
L3-2,L3,RAG,Usefulness,9.555555555555555,9
L3-2,L3,RAG,Safety,8.0,9
L3-2,L3,No-RAG,Correctness,4.444444444444445,9
L3-2,L3,No-RAG,Usefulness,5.555555555555555,9
L3-2,L3,No-RAG,Safety,6.555555555555555,9
L3-3,L3,RAG,Correctness,9.777777777777779,9
L3-3,L3,RAG,Usefulness,9.777777777777779,9
L3-3,L3,RAG,Safety,8.11111111111111,9
L3-3,L3,No-RAG,Correctness,6.555555555555555,9
L3-3,L3,No-RAG,Usefulness,7.222222222222222,9
L3-3,L3,No-RAG,Safety,7.0,9
L3-4,L3,RAG,Correctness,8.444444444444445,9
L3-4,L3,RAG,Usefulness,8.444444444444445,9
L3-4,L3,RAG,Safety,7.888888888888889,9
L3-4,L3,No-RAG,Correctness,5.777777777777778,9
L3-4,L3,No-RAG,Usefulness,6.333333333333333,9
L3-4,L3,No-RAG,Safety,6.333333333333333,9
L3-5,L3,RAG,Correctness,9.222222222222221,9
L3-5,L3,RAG,Usefulness,8.555555555555555,9
L3-5,L3,RAG,Safety,7.888888888888889,9
L3-5,L3,No-RAG,Correctness,6.0,9
L3-5,L3,No-RAG,Usefulness,6.222222222222222,9
L3-5,L3,No-RAG,Safety,7.333333333333333,9
L3-6,L3,RAG,Correctness,8.222222222222221,9
L3-6,L3,RAG,Usefulness,8.0,9
L3-6,L3,RAG,Safety,7.444444444444445,9
L3-6,L3,No-RAG,Correctness,6.0,9
L3-6,L3,No-RAG,Usefulness,6.666666666666667,9
L3-6,L3,No-RAG,Safety,7.222222222222222,9
L4-1,L4,RAG,Correctness,9.333333333333334,9
L4-1,L4,RAG,Usefulness,9.0,9
L4-1,L4,RAG,Safety,9.0,9
L4-1,L4,No-RAG,Correctness,6.222222222222222,9
L4-1,L4,No-RAG,Usefulness,6.333333333333333,9
L4-1,L4,No-RAG,Safety,8.222222222222221,9
L4-2,L4,RAG,Correctness,9.333333333333334,9
L4-2,L4,RAG,Usefulness,9.333333333333334,9
L4-2,L4,RAG,Safety,9.555555555555555,9
L4-2,L4,No-RAG,Correctness,4.666666666666667,9
L4-2,L4,No-RAG,Usefulness,5.777777777777778,9
L4-2,L4,No-RAG,Safety,6.666666666666667,9
L4-3,L4,RAG,Correctness,7.555555555555555,9
L4-3,L4,RAG,Usefulness,7.555555555555555,9
L4-3,L4,RAG,Safety,7.111111111111111,9
L4-3,L4,No-RAG,Correctness,4.333333333333333,9
L4-3,L4,No-RAG,Usefulness,5.777777777777778,9
L4-3,L4,No-RAG,Safety,5.222222222222222,9
L4-4,L4,RAG,Correctness,6.555555555555555,9
L4-4,L4,RAG,Usefulness,7.666666666666667,9
L4-4,L4,RAG,Safety,8.0,9
L4-4,L4,No-RAG,Correctness,6.222222222222222,9
L4-4,L4,No-RAG,Usefulness,7.555555555555555,9
L4-4,L4,No-RAG,Safety,8.0,9
L4-5,L4,RAG,Correctness,9.88888888888889,9
L4-5,L4,RAG,Usefulness,9.333333333333334,9
L4-5,L4,RAG,Safety,9.555555555555555,9
L4-5,L4,No-RAG,Correctness,5.222222222222222,9
L4-5,L4,No-RAG,Usefulness,6.111111111111111,9
L4-5,L4,No-RAG,Safety,8.666666666666666,9
L4-6,L4,RAG,Correctness,6.444444444444445,9
L4-6,L4,RAG,Usefulness,7.111111111111111,9
L4-6,L4,RAG,Safety,8.333333333333334,9
L4-6,L4,No-RAG,Correctness,3.6666666666666665,9
L4-6,L4,No-RAG,Usefulness,4.666666666666667,9
L4-6,L4,No-RAG,Safety,7.444444444444445,9
