sub_name,sub_type,rel_type,rel_name,obj_name,obj_type
1B3-光刻、LIGA实验站,1B3-光刻、LIGA实验站,光类型,光斑参数,样品处为白光,光斑参数
1B3-光刻、LIGA实验站,1B3-光刻、LIGA实验站,样品处光斑尺寸,光斑参数,光斑水平宽度55毫米,光斑参数
1B3-光刻、LIGA实验站,1B3-光刻、LIGA实验站,光源能量,光斑参数,样品台在竖直方向扫描曝光。其中纳米光刻光源能量在1-3 keV,光斑参数
1B3-光刻、LIGA实验站,1B3-光刻、LIGA实验站,能量范围,光斑参数,X射线深度光刻光源能量在3-12 keV,光斑参数
1B3-光刻、LIGA实验站,1B3-光刻、LIGA实验站,样品处光子通量,光斑参数,光通量大于1015phs/s,光斑参数
1B3-光刻、LIGA实验站,1B3-光刻、LIGA实验站,线站状态,线站状态,正常运行,线站状态
4W1A-X射线成像站,4W1A实验站,研究内容,研究内容,晶体材料、生物医学材料、复合材料、能源材料等,研究领域
4W1A-X射线成像站,4W1A实验站,实验技术,实验技术,晶体形貌,实验技术
4W1A-X射线成像站,4W1A实验站,实验技术,实验技术,微米相位衬度成像,实验技术
4W1A-X射线成像站,4W1A实验站,实验技术,实验技术,纳米全场成像,实验技术
4W1A-X射线成像站,4W1A实验站,能量范围,光斑参数,微米成像：能量范围：6 - 26 keV,实验技术
4W1A-X射线成像站,4W1A实验站,样品处光子通量,光斑参数,样品处光子通量(phs/s)～1012 @ 8 keV,光斑参数
4W1A-X射线成像站,4W1A实验站,空间分辨率,光斑参数,空间分辨率为～10 μm、～5 μm、～1 μm时,光斑参数
4W1A-X射线成像站,4W1A实验站,光斑尺寸,光斑参数,光斑尺寸（H×V）分别为20 mm×10 mm，10 mm×5 mm，2 mm×1 mm,光斑参数
4W1A-X射线成像站,4W1A实验站,能量范围,光斑参数,纳米成像：能量范围：6-10 keV,光斑参数
4W1A-X射线成像站,4W1A实验站,样品处光子通量,光斑参数,纳米成像：样品处光子通量(phs/s)～108 @ 8 keV,光斑参数
4W1A-X射线成像站,4W1A实验站,空间分辨率,光斑参数,纳米成像：空间分辨率为30 nm、50 nm、100 nm时,光斑参数
4W1A-X射线成像站,4W1A实验站,光斑尺寸,光斑参数,纳米成像：光斑尺寸（H×V）分别为10 μm×10 μm，15 μm×15 μm，65 μm×65 μm,光斑参数
4W1A-X射线成像站,4W1A实验站,线站状态,线站状态,正常运行,线站状态
4W1B-X射线荧光微分析实验站,4W1B实验站,研究领域,研究领域,物理、催化、生物医学、环境科学、材料科学、人文考古、法学鉴定,研究领域
4W1B-X射线荧光微分析实验站,4W1B实验站,实验技术,实验技术,X 射线荧光光谱法（XRF）,实验技术
4W1B-X射线荧光微分析实验站,4W1B实验站,实验技术,实验技术,微区XRF,实验技术
4W1B-X射线荧光微分析实验站,4W1B实验站,实验技术,实验技术,XES(发射谱),实验技术
4W1B-X射线荧光微分析实验站,4W1B实验站,实验模式,光斑参数,实验模式：粉光聚焦模式,光斑参数
4W1B-X射线荧光微分析实验站,4W1B实验站,能量范围,光斑参数,能量范围：5-18 keV,光斑参数
4W1B-X射线荧光微分析实验站,4W1B实验站,能量分辨率,光斑参数,能量分辨率（△E/E）<5.5×10-4,光斑参数
4W1B-X射线荧光微分析实验站,4W1B实验站,样品处光子通量,光斑参数,样品处光子通量(phs/s)：>1×1010 @ 15 keV,光斑参数
4W1B-X射线荧光微分析实验站,4W1B实验站,样品处光斑尺寸,光斑参数,样品处光斑尺寸：50(H)×50(V) μm2,光斑参数
4W1B-X射线荧光微分析实验站,4W1B实验站,XRF检测限,光斑参数,XRF检测限：1 ppm,光斑参数
4W1B-X射线荧光微分析实验站,4W1B实验站,线站状态,线站状态,正常运行,线站状态
4W2-高压实验站,4W2实验站,研究内容,研究内容,高温/低温高压下物性研究,研究内容
4W2-高压实验站,4W2实验站,实验技术,实验技术,高压粉末XRD,实验技术
4W2-高压实验站,4W2实验站,实验技术,实验技术,高压单晶XRD,实验技术
4W2-高压实验站,4W2实验站,实验技术,实验技术,高压径向XRD,实验技术
4W2-高压实验站,4W2实验站,能量范围,光斑参数,能量范围：10-25 keV（单色光）,光斑参数
4W2-高压实验站,4W2实验站,能量分辨率,光斑参数,能量分辨率（△E/E）：7×10-4 @ 20 keV,光斑参数
4W2-高压实验站,4W2实验站,样品处光子通量,光斑参数,样品处光子通量(phs/s)：1.2×109 @ 20 keV,光斑参数
4W2-高压实验站,4W2实验站,样品处光斑尺寸,光斑参数,样品处光斑尺寸：33×12 μm2,光斑参数
4W2-高压实验站,4W2实验站,线站状态,线站状态,停止运行,线站状态
4B8-真空紫外实验站,4B8-实验站,研究领域,研究领域,荧光粉、闪烁体等发光材料,研究领域
4B8-真空紫外实验站,4B8-实验站,实验技术,实验技术,荧光光谱,实验技术
4B8-真空紫外实验站,4B8-实验站,实验技术,实验技术,吸收谱,实验技术
4B8-真空紫外实验站,4B8-实验站,实验技术,实验技术,等真空紫外光谱,实验技术
4B8-真空紫外实验站,4B8-实验站,波长范围,光斑参数,波长范围：130-360 nm,光斑参数
4B8-真空紫外实验站,4B8-实验站,样品处光子通量,光斑参数,样品处光子通量(phs/s)：2×109 @ 180 nm,光斑参数
4B8-真空紫外实验站,4B8-实验站,光斑参数样品处光斑尺寸,光斑参数,样品处光斑尺寸：2(H)×1(V) mm2,光斑参数
4B8-真空紫外实验站,4B8-实验站,线站状态,线站状态,停止运行,线站状态
4B7A-中能实验站,4B7A实验站,研究领域,研究领域,能源环境、材料、化学、生物科学等领域,研究领域
4B7A-中能实验站,4B7A实验站,研究内容,研究内容,探测器标定、光学元件表征、X射线辐射计量标准,研究内容
4B7A-中能实验站,4B7A实验站,实验技术,实验技术,X射线吸收谱（XAS）,实验技术
4B7A-中能实验站,4B7A实验站,实验技术,实验技术,X射线光学计量标准测定,实验技术
4B7A-中能实验站,4B7A实验站,实验技术,实验技术,X射线探测器标准传递和标定,实验技术
4B7A-中能实验站,4B7A实验站,实验技术,实验技术,光学元件的透射比,实验技术
4B7A-中能实验站,4B7A实验站,实验技术,实验技术,反射率衍射效率标定,实验技术
4B7A-中能实验站,4B7A实验站,实验技术,实验技术,衍射效率标定,实验技术
4B7A-中能实验站,4B7A实验站,能量范围,光斑参数,能量范围：Si(111)：2100-5700 eV InSb(111)：1750-3400 eV,光斑参数
4B7A-中能实验站,4B7A实验站,能量分辨率,光斑参数,能量分辨率（△E/E）～7000,光斑参数
4B7A-中能实验站,4B7A实验站,样品处光子通量,光斑参数,样品处光子通量(phs/s)：～1x1011 @ S K-edge,光斑参数
4B7A-中能实验站,4B7A实验站,样品处光斑尺寸,光斑参数,样品处光斑尺寸：5×3 mm2,光斑参数
4B7A-中能实验站,4B7A实验站,线站状态,线站状态,正常运行,线站状态
4B7B-软X光实验站,4B7B实验站,研究领域,研究领域,能源环境、材料、化学等科学领域,研究领域
4B7B-软X光实验站,4B7B实验站,研究内容,研究内容,探测器标定、光学元件表征、X射线计量标准,研究内容
4B7B-软X光实验站,4B7B实验站,实验技术,实验技术,近边X射线吸收谱（XANES）,实验技术
4B7B-软X光实验站,4B7B实验站,实验技术,实验技术,X射线光学计量标准测定,实验技术
4B7B-软X光实验站,4B7B实验站,实验技术,实验技术,X射线探测器标准传递和标定,实验技术
4B7B-软X光实验站,4B7B实验站,实验技术,实验技术,光学元件的透射比标定,实验技术
4B7B-软X光实验站,4B7B实验站,实验技术,实验技术,光学元件的反射率标定,实验技术
4B7B-软X光实验站,4B7B实验站,能量范围,光斑参数,能量范围：50-1700 eV,光斑参数
4B7B-软X光实验站,4B7B实验站,能量分辨率,光斑参数,能量分辨率（△E/E）～1000,光斑参数
4B7B-软X光实验站,4B7B实验站,样品处光子通量,光斑参数,样品处光子通量(phs/s)>1×1010 @ Fe L-edge,光斑参数
4B7B-软X光实验站,4B7B实验站,样品处光斑尺寸,光斑参数,样品处光斑尺寸：1×0.5 mm2（焦点处）、大至10×5 mm2（离焦）,光斑参数
4B7B-软X光实验站,4B7B实验站,线站状态,线站状态,正常运行,线站状态
4B9A-衍射站,4B9A实验站,研究内容,研究内容,材料科学、纳米科学、催化能源、生物科学,研究内容
4B9A-衍射站,4B9A实验站,实验技术,实验技术,X射线吸收精细结构（XAFS）,实验技术
4B9A-衍射站,4B9A实验站,实验技术,实验技术,X射线衍射(XRD),实验技术
4B9A-衍射站,4B9A实验站,实验技术,实验技术,X射线反射率（XRR）,实验技术
4B9A-衍射站,4B9A实验站,实验技术,实验技术,衍射异常精细结构（DAFS）,实验技术
4B9A-衍射站,4B9A实验站,能量范围,光斑参数,能量范围：5-13 keV,光斑参数
4B9A-衍射站,4B9A实验站,能量分辨率,光斑参数,能量分辨率（△E/E）：3×10-4,光斑参数
4B9A-衍射站,4B9A实验站,样品处光子通量,光斑参数,样品处光子通量(phs/s)：1×1010 @ 8 keV,光斑参数
4B9A-衍射站,4B9A实验站,样品处光斑尺寸,光斑参数,样品处光斑尺寸：2(H)×1(V) mm2,光斑参数
4B9A-衍射站,4B9A实验站,角分辨率,光斑参数,角分辨率：0.9角秒,光斑参数
4B9A-衍射站,4B9A实验站,线站状态,线站状态,停止运行,线站状态
4B9B-光电子能谱实验站,4B9B实验站,研究领域,研究领域,材料科学、催化能源、电子结构研究,研究领域
4B9B-光电子能谱实验站,4B9B实验站,实验技术,实验技术,同步辐射光电子能谱（SRPES）,实验技术
4B9B-光电子能谱实验站,4B9B实验站,实验技术,实验技术,角分辨光电子能谱（ARPES）,实验技术
4B9B-光电子能谱实验站,4B9B实验站,实验技术,实验技术,软X射线吸收谱（NEXAFS）,实验技术
4B9B-光电子能谱实验站,4B9B实验站,波长范围,光斑参数,波长范围： 130-360 nm,光斑参数
4B9B-光电子能谱实验站,4B9B实验站,样品处光子通量,光斑参数,样品处光子通量(phs/s)：2×109 @ 180 nm,光斑参数
4B9B-光电子能谱实验站,4B9B实验站,样品处光斑尺寸,光斑参数,样品处光斑尺寸：2(H)×1(V) mm2,光斑参数
4B9B-光电子能谱实验站,4B9B实验站,线站状态,线站状态,停止运行,线站状态
HEPS,高能同步辐射,束线,束线,生物大分子微晶衍射线站,束线
HEPS,高能同步辐射,束线,束线,低维结构探针线站,束线
HEPS,高能同步辐射,束线,束线,工程材料线站,束线
HEPS,高能同步辐射,束线,束线,粉光小角散射线站,束线
HEPS,高能同步辐射,束线,束线,硬X射线相干散射线站,束线
HEPS,高能同步辐射,束线,束线,硬X射线纳米探针线站,束线
HEPS,高能同步辐射,束线,束线,硬X射线成像线站,束线
HEPS,高能同步辐射,束线,束线,结构动力学线站,束线
HEPS,高能同步辐射,束线,束线,X射线显微成像线站,束线
HEPS,高能同步辐射,束线,束线,高压线站,束线
HEPS,高能同步辐射,束线,束线,高分辨谱学线站,束线
HEPS,高能同步辐射,束线,束线,高分辨纳米电子结构线站,束线
HEPS,高能同步辐射,束线,束线,光学测试线站,束线
HEPS,高能同步辐射,束线,束线,通用环境谱学线站,束线
HEPS,高能同步辐射,束线,束线,X射线吸收谱学线站,束线
生物大分子微晶衍射线站,ID02,能量范围,光斑参数,5–18 keV,光斑参数
生物大分子微晶衍射线站,ID02,能量分辨率,光斑参数,（ΔE/E）~2E-4,光斑参数
生物大分子微晶衍射线站,ID02,最小光斑尺寸,光斑参数,（H×V）1 µm × 1 µm,光斑参数
生物大分子微晶衍射线站,ID02,最大光斑尺寸,光斑参数,（H×V）18 µm × 28 µm,光斑参数
生物大分子微晶衍射线站,ID02,光通量,光斑参数,1E13 phs/s,光斑参数
工程材料线站,ID07,材料工程实验棚屋-能量范围,光斑参数,50–170 keV,光斑参数
工程材料线站,ID07,材料工程实验棚屋-能量分辨率,光斑参数,10^{-3},光斑参数
工程材料线站,ID07,材料工程实验棚屋-样品处光斑尺寸,光斑参数,~1 mm × 1 mm（最大），5 μm × 5 μm（最小）,光斑参数
工程材料线站,ID07,材料工程实验棚屋-样品处光通量,光斑参数,2×10^{12} phs/s（@100 keV，200 mA，非聚焦）,光斑参数
工程材料线站,ID07,材料工程实验棚屋-样品台负载,光斑参数,>200 kg（综合），>1.5 t（重载）,实验技术
工程材料线站,ID07,材料工程实验棚屋-实验技术,实验技术,单晶衍射,实验技术
工程材料线站,ID07,材料工程实验棚屋-实验技术,实验技术,粉末衍射,实验技术
工程材料线站,ID07,材料工程实验棚屋-实验技术,实验技术,深度分辨衍射,实验技术
工程材料线站,ID07,材料工程实验棚屋-实验技术,实验技术,时间分辨衍射,实验技术
工程材料线站,ID07,材料工程实验棚屋-实验技术,实验技术,XRD-CT,实验技术
工程材料线站,ID07,材料工程实验棚屋-实验技术,实验技术,全场/扫描+吸收/相衬+投影成像/CT,实验技术
工程材料线站,ID07,材料工程实验棚屋-实验技术,实验技术,晶粒分辨的衍射衬度成像,实验技术
工程材料线站,ID07,材料工程实验棚屋-实验技术,实验技术,PDF,光斑参数
工程材料线站,ID07,材料化学实验棚屋-能量范围,光斑参数,50–170 keV,光斑参数
工程材料线站,ID07,材料化学实验棚屋-能量分辨率,光斑参数,10^{-3},光斑参数
工程材料线站,ID07,材料化学实验棚屋-样品处光斑尺寸,光斑参数,~0.7 mm × 0.7 mm,光斑参数
工程材料线站,ID07,材料化学实验棚屋-样品处光通量,光斑参数,2×10^{12} phs/s（@100 keV，200 mA，非聚焦）,光斑参数
工程材料线站,ID07,材料化学实验棚屋-样品台负载,光斑参数,>200 kg,实验技术
工程材料线站,ID07,材料化学实验棚屋-实验技术,实验技术,SAXS,实验技术
工程材料线站,ID07,材料化学实验棚屋-实验技术,实验技术,WAXS,实验技术
工程材料线站,ID07,材料化学实验棚屋-实验技术,实验技术,SAXS+WAXS,实验技术
工程材料线站,ID07,材料化学实验棚屋-实验技术,实验技术,时间分辨SAXS,实验技术
工程材料线站,ID07,材料化学实验棚屋-实验技术,实验技术,PDF,实验技术
工程材料线站,ID07,材料化学实验棚屋-实验技术,实验技术,单晶衍射,实验技术
工程材料线站,ID07,材料化学实验棚屋-实验技术,实验技术,粉末衍射,实验技术
工程材料线站,ID07,材料化学实验棚屋-实验技术,实验技术,全场/扫描+吸收/相衬+投影成像/CT,光斑参数
粉光小角散射线站,ID08,能量范围,光斑参数,8–12 keV,光斑参数
粉光小角散射线站,ID08,能量分辨率,光斑参数,1%,光斑参数
粉光小角散射线站,ID08,最小光斑,光斑参数,100 µm × 100 µm,光斑参数
粉光小角散射线站,ID08,最大光斑,光斑参数,500 µm × 500 µm,光斑参数
粉光小角散射线站,ID08,光通量,光斑参数,5E14,样品环境
粉光小角散射线站,ID08,样品环境,样品环境,高温、低温、拉伸，液相合成,实验技术
粉光小角散射线站,ID08,实验技术,实验技术,WAXS、SAXS、USAXS 技术或联合测量。,实验技术
粉光小角散射线站,ID08,实验技术,实验技术,掠入射广角 X 射线散射（GiWAXS）,实验技术
粉光小角散射线站,ID08,实验技术,实验技术,掠入射小角 X 射线散射（GiSAXS ）,实验技术
粉光小角散射线站,ID08,实验技术,实验技术,毫秒量级时间分辨（T-SAXS）的动态散射探测,样品环境
低维结构探针线站,ID05,样品环境,样品环境,高温：300–1573 K。,样品环境
低维结构探针线站,ID05,样品环境,样品环境,低温：5–300 K。,样品环境
低维结构探针线站,ID05,样品环境,样品环境,真空：10^{-7} Pa。,实验技术
低维结构探针线站,ID05,实验技术,实验技术,X射线衍射(XRD),实验技术
低维结构探针线站,ID05,实验技术,实验技术,GIWAXS,实验技术
低维结构探针线站,ID05,实验技术,实验技术,PDF,实验技术
低维结构探针线站,ID05,实验技术,实验技术,XPCS ,实验技术
硬X射线相干散射线站,ID09,实验技术,实验技术,相干X射线衍射成像（CDI）,实验技术
硬X射线相干散射线站,ID09,实验技术,实验技术,X射线光子相关谱（XPCS）,实验技术
硬X射线相干散射线站,ID09,实验技术,实验技术,扫描相干衍射成像（Ptychography）,实验技术
硬X射线相干散射线站,ID09,实验技术,实验技术,布拉格CDI（BCDI）,实验技术
硬X射线相干散射线站,ID09,实验技术,实验技术,SAXS CDI,实验技术
硬X射线相干散射线站,ID09,实验技术,实验技术,SAXS XPCS,实验技术
硬X射线相干散射线站,ID09,实验技术,实验技术,WAXS XPCS,光斑参数
硬X射线相干散射线站,ID09,能量范围,光斑参数,7–25 keV,光斑参数
硬X射线相干散射线站,ID09,能量分辨率,光斑参数,10^{-4},光斑参数
硬X射线相干散射线站,ID09,相干通量,光斑参数,大于10^{12} ph/s；相干性可调（相干分量0.5–0.95）,光斑参数
硬X射线相干散射线站,ID09,光斑尺寸-Ptychography,光斑参数,光斑尺寸100 nm–5 μm；,光斑参数
硬X射线相干散射线站,ID09,分辨率-Ptychography,光斑参数,分辨率1–50 nm；,光斑参数
硬X射线相干散射线站,ID09,视场-Ptychography,光斑参数,视场1–100 μm。,光斑参数
硬X射线相干散射线站,ID09,光斑尺寸-SAXS CDI,光斑参数,光斑尺寸2–20 μm；,光斑参数
硬X射线相干散射线站,ID09,分辨率-SAXS CDI,光斑参数,分辨率1–10 nm；,光斑参数
硬X射线相干散射线站,ID09,视场-SAXS CDI,光斑参数,视场1–10 μm。,光斑参数
硬X射线相干散射线站,ID09,光斑尺寸-BCDI,光斑参数,光斑尺寸100–500 nm；,光斑参数
硬X射线相干散射线站,ID09,分辨率-BCDI,光斑参数,分辨率1–10 nm；,光斑参数
硬X射线相干散射线站,ID09,视场-BCDI,光斑参数,视场50–500 nn。,光斑参数
硬X射线相干散射线站,ID09,光斑尺寸-SAXS XPCS,光斑参数,光斑尺寸10–20 μm；,光斑参数
硬X射线相干散射线站,ID09,空间尺度-SAXS XPCS,光斑参数,空间尺度1–200 nm；,光斑参数
硬X射线相干散射线站,ID09,时间尺度-SAXS XPCS,光斑参数,时间尺度1000 s–1 μs。,光斑参数
硬X射线相干散射线站,ID09,光斑尺寸-WAXS XPCS,光斑参数,光斑尺寸100 nm–2 μm；,光斑参数
硬X射线相干散射线站,ID09,空间尺度-WAXS XPCS,光斑参数,空间尺度0.1–1 nm；,光斑参数
硬X射线相干散射线站,ID09,时间尺度-WAXS XPCS,光斑参数,时间尺度1000 s–1 μs。,实验技术
硬X射线纳米探针线站,ID19,实验技术,实验技术,高分辨荧光谱成像（n-XRF）。,实验技术
硬X射线纳米探针线站,ID19,实验技术,实验技术,扫描相干衍射成像（Ptychography）。,实验技术
硬X射线纳米探针线站,ID19,实验技术,实验技术,纳米全息相干成像（Nano-holography）。,实验技术
硬X射线纳米探针线站,ID19,实验技术,实验技术,纳衍射（n-XRD）,实验技术
硬X射线纳米探针线站,ID19,实验技术,实验技术,近边X射线吸收谱（XANES）,实验技术
硬X射线纳米探针线站,ID19,实验技术,实验技术,在线扫描电镜成像（SEM）,光斑参数
硬X射线纳米探针线站,ID19,能量范围,光斑参数,5–30 keV,光斑参数
硬X射线纳米探针线站,ID19,能量分辨率,光斑参数,10^{-4}～10^{-5},光斑参数
硬X射线纳米探针线站,ID19,最小聚焦光斑-高分辨模式,光斑参数,<10 nm,光斑参数
硬X射线纳米探针线站,ID19,最小聚焦光斑-原位模式,光斑参数,<50 nm,光斑参数
硬X射线纳米探针线站,ID19,光通量-高分辨模式,光斑参数,10^{9}～10^{10} phs/s @10 keV,光斑参数
硬X射线纳米探针线站,ID19,光通量-原位模式,光斑参数,10^{10}～10^{11} phs/s @10 keV,光斑参数
硬X射线纳米探针线站,ID19,聚焦光斑工作距离-高分辨模式,光斑参数,1–2 mm,光斑参数
硬X射线纳米探针线站,ID19,聚焦光斑工作距离-原位模式,光斑参数,40–50 mm,光斑参数
硬X射线纳米探针线站,ID19,样品尺寸,光斑参数,亚微米至毫米尺度（亚 μm ~ mm）,光斑参数
硬X射线纳米探针线站,ID19,成像分辨率,光斑参数,样品信息（结构、元素、价态等）成像分辨率约纳米尺度,
硬X射线成像线站,ID21,,,,
结构动力学线站,ID23,实验技术,实验技术,时间分辨X射线衍射,实验技术
结构动力学线站,ID23,实验技术,实验技术,时间分辨X射线相位衬度成像,实验技术
结构动力学线站,ID23,实验技术,实验技术,时间分辨X射线散射,实验技术
结构动力学线站,ID23,实验技术,实验技术,时间分辨X射线纳米成像,光斑参数
结构动力学线站,ID23,光学模式-白光模式,光斑参数,光斑大小 1 mm–14 mm；单脉冲强度 >10^{9} phs/pulse；光通量 >10^{16} phs/s。,光斑参数
结构动力学线站,ID23,光学模式-微米模式,光斑参数,光斑大小 5 μm–500 μm；光通量 >10^{15} phs/s；光子能量 20–70 keV；能量分辨率 0.5%–2.8%。,光斑参数
